modelo,season,umbral_edge,apuestas,overs,unders,edge_promedio,aciertos,accuracy,apuestas_roi,profit,roi
total_con_mercado,2024,0.0,269,146,123,2.541486897283034,136,0.5055762081784386,269,-9.53956048599293,-0.03546305013380271
total_con_mercado,2024,1.0,203,111,92,3.21967796915854,106,0.5221674876847291,203,-0.6260467296272885,-0.0030839740375728495
total_con_mercado,2024,2.0,145,81,64,3.8951191389760282,75,0.5172413793103449,145,-1.7467237224270464,-0.012046370499496872
total_con_mercado,2024,3.0,87,52,35,4.872989707364022,48,0.5517241379310345,87,4.55991408421076,0.05241280556564092
total_con_mercado,2024,4.0,58,35,23,5.563253952366314,33,0.5689655172413793,58,4.9652843131104,0.08560835022604138
total_con_mercado,2024,5.0,29,19,10,6.648513485598849,17,0.5862068965517241,29,3.4498922977183843,0.11896180336959947
total_con_mercado,2024,6.0,16,11,5,7.532660618344525,11,0.6875,16,4.961075558901646,0.3100672224313529
total_con_mercado,2024,7.0,9,7,2,8.580334652484384,5,0.5555555555555556,9,0.5454545454545453,0.06060606060606059
total_con_mercado,2025,0.0,272,160,112,2.9106184535601343,148,0.5441176470588235,272,10.740577038568716,0.03948741558297322
total_con_mercado,2025,1.0,213,125,88,3.5749139161038053,113,0.5305164319248826,213,2.9515994130247014,0.013857274239552589
total_con_mercado,2025,2.0,163,97,66,4.235773872734298,92,0.5644171779141104,163,12.598480172757341,0.07729128940341927
total_con_mercado,2025,3.0,110,70,40,5.124992238413915,63,0.5727272727272728,110,10.18745236570023,0.09261320332454755
total_con_mercado,2025,4.0,79,49,30,5.778875897462787,46,0.5822784810126582,79,8.731582622106702,0.11052636230514812
total_con_mercado,2025,5.0,47,30,17,6.663239729936427,29,0.6170212765957447,47,8.54308767863755,0.1817678229497351
total_con_mercado,2025,6.0,26,17,9,7.637842388937582,16,0.6153846153846154,26,4.384568495821692,0.16863724983929584
total_con_mercado,2025,7.0,13,9,4,8.849217014059693,8,0.6153846153846154,13,2.1254470167513646,0.1634959243654896
total_con_mercado,2026,0.0,32,19,13,3.6087552769915474,16,0.5,32,-1.4476607715803176,-0.045239399111884925
total_con_mercado,2026,1.0,27,17,10,4.175544265094293,15,0.5555555555555556,27,1.6827740110283784,0.062324963371421425
total_con_mercado,2026,2.0,21,15,6,4.921763015106555,11,0.5238095238095238,21,0.06264414089850856,0.0029830543285004076
total_con_mercado,2026,3.0,18,15,3,5.331373468843585,11,0.6111111111111112,18,3.0626441408985077,0.17014689671658376
total_con_mercado,2026,4.0,13,11,2,6.131427884961606,8,0.6153846153846154,13,2.291480119734487,0.17626770151803747
total_con_mercado,2026,5.0,9,7,2,6.735619891204258,6,0.6666666666666666,9,2.5523496849518783,0.2835944094390976
total_con_mercado,2026,6.0,4,3,1,8.172969702389805,2,0.5,4,-0.164983164983165,-0.04124579124579125
total_con_mercado,2026,7.0,4,3,1,8.172969702389805,2,0.5,4,-0.164983164983165,-0.04124579124579125
total_sin_mercado,2024,0.0,269,154,115,3.0852899307653763,142,0.5278810408921933,269,2.130753399295598,0.007921016354258728
total_sin_mercado,2024,1.0,204,123,81,3.908176227195408,106,0.5196078431372549,204,-1.5958273515818253,-0.00782268309598934
total_sin_mercado,2024,2.0,155,89,66,4.6666053764070865,76,0.49032258064516127,155,-9.874385678733502,-0.06370571405634518
total_sin_mercado,2024,3.0,115,68,47,5.406322286210423,54,0.46956521739130436,115,-11.81577681577682,-0.10274588535458104
total_sin_mercado,2024,4.0,85,53,32,6.069715496404593,41,0.4823529411764706,85,-6.662818662818662,-0.07838610191551366
total_sin_mercado,2024,5.0,58,36,22,6.799555134290575,25,0.43103448275862066,58,-10.211279461279462,-0.17605654243585278
